Respondent ID,Age Group,Education,Income Bracket,Living Area,Prior ADR Exposure,Tech Familiarity (1-5),General ADR Attitude (1-5),Privacy Concerns,Safety Concerns,Job Displacement,Public Space Impact,Reliability Concerns
1,18-30,Graduate Degree,60k-100k,Suburban,Seen,4.6,3.7,5.0,3.1,3.2,2.8,2.5
2,18-30,High School,>150k,Rural,None,3.1,2.3,4.1,3.0,4.3,3.0,3.0
3,18-30,Graduate Degree,30k-60k,Urban,Interacted,3.2,4.1,4.6,3.1,4.2,3.7,3.1
4,18-30,Bachelor's,60k-100k,Suburban,Seen,4.2,5.0,4.2,2.4,3.4,3.1,3.3
5,18-30,Bachelor's,60k-100k,Suburban,Interacted,3.1,3.5,4.3,3.2,3.3,2.0,3.1
6,18-30,Some College,30k-60k,Suburban,Seen,3.2,3.6,3.9,2.9,4.4,2.8,2.5
7,18-30,Bachelor's,<30k,Urban,Seen,4.2,4.1,5.0,4.0,4.6,3.2,3.0
8,18-30,Some College,30k-60k,Urban,Seen,3.4,3.0,3.9,3.4,4.3,2.2,2.8
9,18-30,Some College,60k-100k,Suburban,None,2.8,2.8,4.4,3.9,3.2,3.7,2.6
10,18-30,High School,30k-60k,Suburban,None,3.4,3.2,5.0,3.0,3.3,3.6,2.3
11,18-30,Some College,60k-100k,Suburban,Interacted,3.9,2.8,4.4,3.6,3.8,2.8,3.3
12,18-30,Bachelor's,30k-60k,Suburban,Seen,3.6,3.1,4.8,3.0,4.2,2.9,2.7
13,18-30,Bachelor's,<30k,Suburban,Interacted,4.3,3.6,3.9,2.9,4.4,3.5,3.2
14,18-30,High School,100k-150k,Suburban,Seen,4.2,3.5,4.6,3.1,4.0,3.4,2.7
15,18-30,Graduate Degree,30k-60k,Suburban,None,4.6,3.3,4.0,3.2,3.9,3.3,2.7
16,18-30,High School,>150k,Urban,Seen,3.1,4.3,4.6,3.3,3.8,2.8,3.3
17,18-30,Some College,30k-60k,Suburban,None,5.0,3.4,4.6,3.4,3.6,2.8,2.0
18,18-30,High School,<30k,Suburban,None,3.4,3.2,4.6,2.7,4.0,2.9,2.7
19,18-30,High School,>150k,Urban,Seen,5.0,3.6,4.8,2.9,3.6,3.5,2.0
20,18-30,Some College,<30k,Urban,Seen,3.7,3.6,4.2,3.3,3.5,3.1,3.8
21,18-30,Some College,100k-150k,Urban,Interacted,4.1,3.6,4.2,3.6,4.1,2.8,4.1
22,18-30,Bachelor's,60k-100k,Rural,None,2.1,2.5,5.0,4.2,3.5,2.4,2.7
23,18-30,Bachelor's,<30k,Rural,Interacted,5.0,4.4,3.2,3.3,4.2,3.3,3.4
24,18-30,Graduate Degree,<30k,Urban,Seen,3.7,4.0,4.1,3.7,3.7,1.9,3.7
25,18-30,Some College,30k-60k,Urban,Interacted,2.5,2.7,4.3,3.3,4.7,3.0,2.8
