Jurisdiction Type,Jurisdiction Name,Concern Area,Coverage Percentage,Regulatory Instruments Count,Implementation Score (1-5),Most Recent Update,Enforcement Mechanism
Municipal,New York City,Data Security,70.6,3,2.7,2024,Yes
Municipal,New York City,Physical Security,74.7,2,3.4,2024,No
Municipal,New York City,Privacy Protection,37.0,1,1.5,2021,Yes
Municipal,New York City,Algorithmic Transparency,7.7,1,1.8,2018,No
Municipal,New York City,Service Equity,37.0,2,1.7,2024,Yes
Municipal,New York City,Labor Protection,26.1,3,2.4,2021,No
Municipal,San Francisco,Data Security,62.2,5,3.5,2023,Yes
Municipal,San Francisco,Physical Security,60.9,3,2.9,2024,No
Municipal,San Francisco,Privacy Protection,46.0,1,2.7,2022,No
Municipal,San Francisco,Algorithmic Transparency,7.3,1,1.4,2022,No
Municipal,San Francisco,Service Equity,44.9,1,2.1,2022,Yes
Municipal,San Francisco,Labor Protection,21.7,3,3.3,2022,No
Municipal,Chicago,Data Security,67.5,2,4.0,2025,Yes
Municipal,Chicago,Physical Security,68.1,5,3.0,2025,Yes
Municipal,Chicago,Privacy Protection,51.0,5,2.9,2021,Yes
Municipal,Chicago,Algorithmic Transparency,14.1,0,1.0,2020,Yes
Municipal,Chicago,Service Equity,44.3,2,2.6,2022,No
Municipal,Chicago,Labor Protection,32.4,1,2.0,2022,Yes
Municipal,Austin,Data Security,67.4,2,3.6,2023,Yes
Municipal,Austin,Physical Security,69.7,5,3.0,2023,Yes
Municipal,Austin,Privacy Protection,35.4,3,2.1,2023,No
Municipal,Austin,Algorithmic Transparency,14.1,0,1.7,2020,No
Municipal,Austin,Service Equity,37.6,3,1.8,2022,No
Municipal,Austin,Labor Protection,30.2,2,2.6,2022,No
Municipal,Seattle,Data Security,77.9,4,3.1,2025,Yes
Municipal,Seattle,Physical Security,67.8,5,2.5,2025,Yes
Municipal,Seattle,Privacy Protection,44.5,1,2.2,2022,No
Municipal,Seattle,Algorithmic Transparency,14.5,1,1.1,2019,No
Municipal,Seattle,Service Equity,38.3,1,3.0,2023,No
Municipal,Seattle,Labor Protection,23.7,2,2.9,2021,No
Municipal,Boston,Data Security,79.2,6,3.6,2023,No
Municipal,Boston,Physical Security,72.8,5,3.7,2024,Yes
Municipal,Boston,Privacy Protection,42.3,1,2.9,2023,Yes
Municipal,Boston,Algorithmic Transparency,13.2,0,1.4,2020,Yes
Municipal,Boston,Service Equity,38.4,3,1.5,2024,No
Municipal,Boston,Labor Protection,15.9,0,1.2,2020,No
Municipal,Los Angeles,Data Security,70.3,3,3.5,2023,No
Municipal,Los Angeles,Physical Security,73.0,3,3.0,2023,Yes
Municipal,Los Angeles,Privacy Protection,39.3,2,1.8,2021,No
Municipal,Los Angeles,Algorithmic Transparency,22.6,3,2.8,2020,No
Municipal,Los Angeles,Service Equity,43.9,2,1.9,2021,Yes
Municipal,Los Angeles,Labor Protection,26.0,1,2.9,2018,No
Municipal,Denver,Data Security,74.8,5,4.0,2024,Yes
Municipal,Denver,Physical Security,60.4,5,3.0,2024,Yes
Municipal,Denver,Privacy Protection,41.7,2,3.1,2022,Yes
Municipal,Denver,Algorithmic Transparency,19.2,0,1.8,2018,No
Municipal,Denver,Service Equity,34.9,2,2.0,2021,Yes
Municipal,Denver,Labor Protection,29.3,1,3.3,2019,No
Municipal,Atlanta,Data Security,65.1,2,3.0,2025,No
Municipal,Atlanta,Physical Security,59.0,2,3.1,2022,No
Municipal,Atlanta,Privacy Protection,52.5,5,2.7,2021,Yes
Municipal,Atlanta,Algorithmic Transparency,11.9,0,1.4,2022,No
Municipal,Atlanta,Service Equity,35.3,3,2.6,2023,Yes
Municipal,Atlanta,Labor Protection,30.8,1,1.6,2024,Yes
Municipal,Portland,Data Security,78.2,6,3.0,2023,Yes
Municipal,Portland,Physical Security,69.6,5,2.8,2023,Yes
Municipal,Portland,Privacy Protection,40.2,3,2.1,2021,No
Municipal,Portland,Algorithmic Transparency,10.6,0,1.3,2021,No
Municipal,Portland,Service Equity,39.6,3,2.0,2024,Yes
Municipal,Portland,Labor Protection,27.5,2,2.2,2021,Yes
State/Provincial,California,Data Security,55.5,5,3.2,2022,No
State/Provincial,California,Physical Security,47.9,3,1.6,2021,Yes
State/Provincial,California,Privacy Protection,69.3,4,3.7,2024,No
State/Provincial,California,Algorithmic Transparency,33.4,3,2.0,2021,No
State/Provincial,California,Service Equity,34.8,3,2.3,2024,No
State/Provincial,California,Labor Protection,44.5,1,2.5,2021,Yes
State/Provincial,New York,Data Security,56.9,2,3.3,2022,Yes
State/Provincial,New York,Physical Security,42.4,2,1.8,2022,No
State/Provincial,New York,Privacy Protection,70.8,3,2.7,2024,Yes
State/Provincial,New York,Algorithmic Transparency,31.6,3,2.4,2022,No
State/Provincial,New York,Service Equity,31.5,2,2.1,2021,Yes
State/Provincial,New York,Labor Protection,50.7,5,3.3,2023,No
State/Provincial,Texas,Data Security,58.3,2,3.7,2024,Yes
State/Provincial,Texas,Physical Security,48.0,1,1.8,2021,No
State/Provincial,Texas,Privacy Protection,64.8,2,3.7,2025,No
State/Provincial,Texas,Algorithmic Transparency,20.9,2,2.0,2021,No
State/Provincial,Texas,Service Equity,20.7,2,1.6,2020,No
State/Provincial,Texas,Labor Protection,58.3,5,2.6,2023,No
State/Provincial,Massachusetts,Data Security,60.5,2,3.6,2024,No
State/Provincial,Massachusetts,Physical Security,48.8,1,2.2,2023,Yes
State/Provincial,Massachusetts,Privacy Protection,74.3,5,3.8,2025,Yes
State/Provincial,Massachusetts,Algorithmic Transparency,20.7,1,1.8,2021,No
State/Provincial,Massachusetts,Service Equity,22.3,2,2.0,2021,No
State/Provincial,Massachusetts,Labor Protection,53.9,2,2.8,2022,No
State/Provincial,Washington,Data Security,59.5,5,3.6,2023,No
State/Provincial,Washington,Physical Security,38.3,3,3.1,2021,Yes
