City,Neighborhood,Median Household Income (thousand USD),Service Density (robots/km²),Population Density (people/km²),Public Transit Score,ADR Accessibility Score,Commercial Density Score
Memphis,Memphis-District-1,41.4,0.18,4707.8,28.4,51.5,36.5
Memphis,Memphis-District-2,20.4,0.12,3726.8,21.9,50.0,29.9
Memphis,Memphis-District-3,41.2,0.19,4010.1,63.0,57.7,60.4
Memphis,Memphis-District-4,34.1,0.17,3246.0,72.2,49.2,60.6
Memphis,Memphis-District-5,31.2,0.14,3113.1,32.9,48.0,59.9
Memphis,Memphis-District-6,44.1,0.2,2899.6,40.6,54.8,43.8
Memphis,Memphis-District-7,48.3,0.21,3297.1,75.3,51.8,37.6
Memphis,Memphis-District-8,47.3,0.23,4143.2,41.7,66.6,41.9
Memphis,Memphis-District-9,29.6,0.13,4306.3,79.1,57.3,63.1
Memphis,Memphis-District-10,34.9,0.21,2900.6,70.0,53.0,37.0
Detroit,Detroit-District-1,45.3,0.29,2334.9,58.9,66.9,58.0
Detroit,Detroit-District-2,51.8,0.32,4645.6,42.8,54.0,75.1
Detroit,Detroit-District-3,37.2,0.28,3784.7,70.6,58.6,62.2
Detroit,Detroit-District-4,40.1,0.26,1160.5,36.1,52.4,40.5
Detroit,Detroit-District-5,30.9,0.26,5381.8,59.3,48.7,45.1
Detroit,Detroit-District-6,30.0,0.25,3294.3,34.8,47.3,51.5
Detroit,Detroit-District-7,50.1,0.32,3922.9,44.0,68.0,43.8
Cleveland,Cleveland-District-1,60.6,0.52,1454.5,26.6,55.2,63.3
Cleveland,Cleveland-District-2,46.3,0.44,3110.8,42.9,49.8,73.7
Cleveland,Cleveland-District-3,57.0,0.49,5855.4,20.7,70.0,65.9
Cleveland,Cleveland-District-4,50.6,0.46,3684.9,58.5,55.6,39.6
Cleveland,Cleveland-District-5,40.5,0.34,3268.6,72.6,65.3,42.7
Cleveland,Cleveland-District-6,50.6,0.43,1893.3,72.2,68.5,47.1
Baltimore,Baltimore-District-1,66.4,0.78,1994.6,29.7,64.0,78.1
Baltimore,Baltimore-District-2,50.6,0.7,5592.5,49.3,62.2,39.7
Baltimore,Baltimore-District-3,66.6,0.74,5926.6,34.4,72.8,49.6
Baltimore,Baltimore-District-4,24.8,0.3,1393.8,69.0,54.6,66.6
Baltimore,Baltimore-District-5,59.2,0.71,1628.8,76.8,66.9,44.4
Baltimore,Baltimore-District-6,51.9,0.62,4033.0,75.7,70.0,65.8
Baltimore,Baltimore-District-7,48.0,0.61,4564.7,60.3,57.2,49.3
Baltimore,Baltimore-District-8,51.9,0.71,3257.4,23.8,55.7,36.4
Baltimore,Baltimore-District-9,31.1,0.37,3942.2,62.5,42.6,31.7
Baltimore,Baltimore-District-10,48.8,0.47,1157.1,50.8,56.1,45.8
Phoenix,Phoenix-District-1,59.6,1.04,1661.6,54.3,72.5,56.8
Phoenix,Phoenix-District-2,70.8,1.55,5037.5,25.8,62.1,58.5
Phoenix,Phoenix-District-3,50.8,0.97,3335.1,60.4,64.9,74.6
Phoenix,Phoenix-District-4,47.9,0.79,3013.1,71.7,56.0,44.3
Phoenix,Phoenix-District-5,51.0,0.88,3243.1,36.7,58.8,45.3
Phoenix,Phoenix-District-6,65.2,1.5,3215.7,53.0,73.3,41.6
Phoenix,Phoenix-District-7,59.3,1.4,5180.1,75.6,73.1,71.7
Phoenix,Phoenix-District-8,50.7,0.86,3428.2,44.1,54.6,37.6
Chicago,Chicago-District-1,67.1,1.13,2952.1,67.1,75.4,51.5
Chicago,Chicago-District-2,63.0,1.42,4652.5,59.7,70.9,58.4
Chicago,Chicago-District-3,71.7,1.32,2088.5,64.1,59.8,43.9
Chicago,Chicago-District-4,55.0,1.07,1250.7,75.2,61.5,57.7
Chicago,Chicago-District-5,58.7,1.01,3539.1,24.1,70.5,40.3
Chicago,Chicago-District-6,58.1,1.39,3018.9,54.2,72.1,60.6
Chicago,Chicago-District-7,47.4,0.81,1409.9,53.9,62.1,46.9
Chicago,Chicago-District-8,65.0,1.23,4348.6,35.9,62.3,44.7
Houston,Houston-District-1,70.6,1.72,2580.9,24.4,73.3,59.5
Houston,Houston-District-2,68.1,2.16,5980.5,32.8,58.7,51.0
Houston,Houston-District-3,65.7,2.04,5404.3,42.2,73.8,46.0
Houston,Houston-District-4,53.8,1.62,4517.7,79.2,63.8,62.3
Houston,Houston-District-5,63.8,1.36,5085.5,59.8,61.5,76.7
Houston,Houston-District-6,64.6,1.46,1577.1,53.2,58.0,50.3
Houston,Houston-District-7,60.0,1.65,4588.1,58.1,58.1,48.6
Houston,Houston-District-8,66.4,1.75,5526.7,25.5,73.5,56.9
Houston,Houston-District-9,72.0,1.74,1017.7,58.2,74.2,52.1
Houston,Houston-District-10,86.9,2.52,3758.4,20.6,73.3,49.1
Portland,Portland-District-1,74.7,2.62,3728.0,55.0,76.6,48.3
Portland,Portland-District-2,75.6,1.94,2541.3,67.8,78.2,77.1
Portland,Portland-District-3,72.3,2.53,2050.4,26.2,63.9,72.9
Portland,Portland-District-4,53.8,1.87,3031.9,29.3,63.9,73.3
Portland,Portland-District-5,72.7,2.51,5881.0,72.9,75.3,42.8
Portland,Portland-District-6,73.6,2.43,2660.9,68.1,78.1,76.6
Portland,Portland-District-7,97.6,3.31,2334.0,26.5,84.8,84.2
Portland,Portland-District-8,71.1,2.45,2112.2,47.6,74.8,53.5
Portland,Portland-District-9,76.0,2.56,2138.0,31.6,60.9,55.9
Portland,Portland-District-10,72.7,2.51,5834.4,58.5,64.6,57.8
Denver,Denver-District-1,67.3,1.91,1138.0,35.7,74.5,63.4
Denver,Denver-District-2,90.4,3.28,1191.3,40.7,78.1,78.6
Denver,Denver-District-3,86.5,2.56,5921.2,74.0,66.9,53.6
Denver,Denver-District-4,86.9,2.16,3180.3,68.4,75.2,73.5
Denver,Denver-District-5,69.9,2.5,4685.2,45.9,61.9,78.9
Denver,Denver-District-6,93.0,3.3,4115.8,27.5,80.5,83.9
Denver,Denver-District-7,65.0,1.98,4334.5,61.8,62.5,61.7
Denver,Denver-District-8,84.9,2.26,4324.6,64.9,71.5,52.4
Denver,Denver-District-9,100.9,3.15,3030.4,38.2,87.0,58.7
Seattle,Seattle-District-1,75.1,2.86,2611.2,60.5,68.9,63.0
Seattle,Seattle-District-2,79.3,3.23,5799.2,59.5,76.5,55.2
Seattle,Seattle-District-3,86.0,3.34,4096.3,77.1,66.3,55.2
Seattle,Seattle-District-4,80.0,2.7,5032.8,22.8,64.9,83.3
Seattle,Seattle-District-5,69.5,2.65,4842.4,73.2,66.9,63.9
Seattle,Seattle-District-6,85.7,3.4,2919.9,28.9,72.3,73.2
Seattle,Seattle-District-7,74.4,3.14,5302.2,66.7,77.5,51.1
Seattle,Seattle-District-8,89.7,3.67,4479.6,53.4,75.2,83.6
Seattle,Seattle-District-9,75.8,2.35,1666.7,51.9,69.6,65.1
Boston,Boston-District-1,106.5,4.7,5457.1,63.2,84.9,72.1
Boston,Boston-District-2,83.2,3.52,3739.4,64.6,81.2,63.9
Boston,Boston-District-3,87.8,2.96,2236.2,65.9,77.9,67.2
Boston,Boston-District-4,99.1,3.89,2373.0,37.1,71.2,60.6
Boston,Boston-District-5,78.7,2.73,3700.8,33.9,64.2,71.4
Boston,Boston-District-6,93.3,3.77,1321.1,52.6,75.5,64.6
Boston,Boston-District-7,104.1,3.43,3100.7,55.0,89.7,79.0
Washington DC,Washington DC-District-1,81.9,2.95,1029.5,65.2,69.8,78.7
Washington DC,Washington DC-District-2,99.8,4.45,3095.1,52.8,84.9,74.1
Washington DC,Washington DC-District-3,100.6,3.37,2097.1,21.7,79.0,63.6
Washington DC,Washington DC-District-4,105.8,4.28,3021.6,48.0,75.6,56.9
Washington DC,Washington DC-District-5,85.6,3.39,1134.8,53.9,72.1,46.8
Washington DC,Washington DC-District-6,84.8,3.38,1678.5,23.0,73.2,60.6
Washington DC,Washington DC-District-7,103.2,3.45,2634.2,42.7,86.5,81.0
Washington DC,Washington DC-District-8,101.0,4.32,2261.4,21.2,72.0,71.9
Washington DC,Washington DC-District-9,100.5,4.55,2749.8,66.9,83.2,76.2
San Francisco,San Francisco-District-1,108.5,4.75,1996.8,29.1,73.8,57.6
San Francisco,San Francisco-District-2,98.2,3.89,3819.8,62.0,73.6,80.1
San Francisco,San Francisco-District-3,107.3,3.46,4036.2,26.9,87.9,85.0
San Francisco,San Francisco-District-4,107.9,4.75,1540.5,38.7,73.7,79.5
San Francisco,San Francisco-District-5,97.9,4.3,2983.3,24.6,83.4,77.0
New York,New York-District-1,130.7,4.29,4486.0,61.1,88.3,91.4
New York,New York-District-2,116.7,4.78,3829.7,52.0,77.5,81.5
New York,New York-District-3,100.1,3.03,4237.7,45.2,70.3,69.6
New York,New York-District-4,118.6,4.22,2810.9,47.6,95.3,61.7
New York,New York-District-5,102.3,3.26,3608.7,57.0,83.9,87.5
New York,New York-District-6,119.9,4.87,3324.4,55.5,94.5,68.9
New York,New York-District-7,123.6,4.06,5673.1,47.0,85.0,87.1
New York,New York-District-8,103.8,3.91,4340.9,49.7,78.2,64.1
New York,New York-District-9,121.6,4.43,2774.1,36.8,83.8,80.3
New York,New York-District-10,116.1,4.9,3779.0,31.5,86.8,64.5
San Jose,San Jose-District-1,132.2,4.56,4790.8,58.8,96.7,79.3
San Jose,San Jose-District-2,143.0,5.54,1465.3,61.5,91.6,75.1
San Jose,San Jose-District-3,121.5,4.35,3366.3,45.5,89.2,86.3
San Jose,San Jose-District-4,116.5,3.77,4514.3,35.1,82.0,59.8
San Jose,San Jose-District-5,115.1,3.5,1597.8,65.7,86.8,61.9
San Jose,San Jose-District-6,115.8,3.56,3421.0,78.6,90.8,75.7
San Jose,San Jose-District-7,123.2,3.9,1502.6,33.6,83.2,64.1
San Jose,San Jose-District-8,127.4,3.56,3670.7,78.5,86.5,80.4
